Namespace(attack_bn='clean', attack_iter=5, attack_type='roa', batch_size=12, checkpoint=1, dampening=0.0, detector_path='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/detect_train/resnet50/save_4.pth', epsilon=4, exp_name='roa_bn_aware', framing_width=5, ft_begin_index=0, inf_bn='clean', input='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist01_jpg.txt', learning_rate=0.001, lr_patience=10, manual_seed=1, mode='score', model_depth=101, model_name='resnext_3bn', momentum=0.9, n_classes=101, n_epochs=7, n_finetune_classes=3, n_threads=4, nesterov=False, no_cuda=False, num_pixel=100, optimizer='sgd', pretrain_path='/home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/multi_clean_pgd_roa3/save_5.pth', resnet_shortcut='B', resnext_cardinality=32, roa_size=30, roa_stride=1, sample_duration=40, sample_size=112, save_image=False, sparsity=40, step_size=1.0, video_root='/home/sylo/SegNet/flowattack/UCF-101_jpg', weight_decay=1e-05, wide_resnet_k=2)

-test data: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/ucfTrainTestlist/testlist01_jpg.txt
-model: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/my_train/multi_clean_pgd_roa3/save_5.pth
-detector: /home/sylo/SegNet/flowattack/3D-ResNets-PyTorch/video_classification/detect_train/resnet50/save_4.pth

2020-02-28 16:59:22.713875

id: 0001, acc: 0.00, label: 1 ApplyEyeMakeup, predict: 14 BlowingCandles
id: 0002, acc: 0.00, label: 1 ApplyEyeMakeup, predict: 14 BlowingCandles
id: 0003, acc: 33.33, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0004, acc: 50.00, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0005, acc: 60.00, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0006, acc: 66.67, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0007, acc: 71.43, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0008, acc: 75.00, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0009, acc: 77.78, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0010, acc: 70.00, label: 1 ApplyEyeMakeup, predict: 78 ShavingBeard
id: 0011, acc: 72.73, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0012, acc: 75.00, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0013, acc: 76.92, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0014, acc: 78.57, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0015, acc: 80.00, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0016, acc: 81.25, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0017, acc: 82.35, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0018, acc: 83.33, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0019, acc: 84.21, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0020, acc: 85.00, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0021, acc: 85.71, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0022, acc: 86.36, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0023, acc: 86.96, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0024, acc: 87.50, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0025, acc: 88.00, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0026, acc: 88.46, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0027, acc: 88.89, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0028, acc: 89.29, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0029, acc: 89.66, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0030, acc: 90.00, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0031, acc: 90.32, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0032, acc: 90.62, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0033, acc: 90.91, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0034, acc: 91.18, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0035, acc: 91.43, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0036, acc: 91.67, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0037, acc: 91.89, label: 1 ApplyEyeMakeup, predict: 1 ApplyEyeMakeup
id: 0038, acc: 89.47, label: 1 ApplyEyeMakeup, predict: 14 BlowingCandles
