PGD

id: 0001, acc: 0.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0002, acc: 0.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0003, acc: 0.00, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0004, acc: 0.00, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0005, acc: 20.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0006, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0007, acc: 42.86, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0008, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0009, acc: 55.56, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0010, acc: 50.00, label: ApplyEyeMakeup, predict: BlowingCandles
id: 0011, acc: 45.45, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0012, acc: 41.67, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0013, acc: 38.46, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0014, acc: 35.71, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0015, acc: 33.33, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0016, acc: 31.25, label: ApplyEyeMakeup, predict: ApplyLipstick
id: 0017, acc: 35.29, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0018, acc: 38.89, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0019, acc: 36.84, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0020, acc: 40.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0021, acc: 42.86, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0022, acc: 45.45, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0023, acc: 43.48, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0024, acc: 45.83, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0025, acc: 48.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0026, acc: 50.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0027, acc: 51.85, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0028, acc: 53.57, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0029, acc: 55.17, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0030, acc: 56.67, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0031, acc: 58.06, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0032, acc: 59.38, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0033, acc: 57.58, label: ApplyEyeMakeup, predict: PlayingDaf
id: 0034, acc: 58.82, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0035, acc: 60.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0036, acc: 58.33, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0037, acc: 56.76, label: ApplyEyeMakeup, predict: ShavingBeard
id: 0038, acc: 55.26, label: ApplyEyeMakeup, predict: BenchPress
id: 0039, acc: 53.85, label: ApplyEyeMakeup, predict: BenchPress
id: 0040, acc: 55.00, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0041, acc: 56.10, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0042, acc: 57.14, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0043, acc: 58.14, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0044, acc: 59.09, label: ApplyEyeMakeup, predict: ApplyEyeMakeup
id: 0045, acc: 57.78, label: ApplyLipstick, predict: Haircut
id: 0046, acc: 56.52, label: ApplyLipstick, predict: ApplyEyeMakeup
